CaseID,Opened,Closed,Updated,Status,Responsible Agency,Category,Request Type,Request Details,Address,Neighborhood,Supervisor District,Point,Source,Media URL
3643919,05/14/2014 11:46:55 PM,05/16/2014 11:53:29 AM,05/16/2014 11:53:29 AM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Commendation,401_Employee_Commendation,Not associated with a specific address,,,POINT (0 0),Phone,
3643904,05/14/2014 11:36:54 PM,05/16/2014 12:27:38 PM,05/16/2014 12:27:38 PM,Closed,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,301_Discourtesy_to_Customer,Not associated with a specific address,,,POINT (0 0),Web,
3643898,05/14/2014 11:32:38 PM,05/15/2014 11:17:26 AM,05/15/2014 11:17:26 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1277 MISSION ST, SAN FRANCISCO, CA, 94103",South of Market,6.0,POINT (-122.41427684 37.77651227),Mobile/Open311,
3643894,05/14/2014 11:22:55 PM,05/20/2014 03:11:39 AM,05/20/2014 03:11:39 AM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Other_enter_additional_details_below,Not associated with a specific address,,,POINT (0 0),Web,
3643892,05/14/2014 11:21:42 PM,05/16/2014 05:02:51 PM,05/16/2014 05:02:51 PM,Closed,PUC Streetlights Queue,Streetlights,Streetlight - Light_Glass_Cover_Hanging,Light_Glass_Cover_Hanging on Metal Pole,"760 CHURCH ST, SAN FRANCISCO, CA, 94114",Dolores Heights,8.0,POINT (-122.42829132 37.7585144),Phone,
3643887,05/14/2014 11:18:02 PM,11/21/2017 04:30:23 PM,11/21/2017 04:30:23 PM,Closed,Housing Authority SR Queue,SFHA Requests,Carpentery,Carpentery - Emergency,"1750 MCALLISTER ST, Apt 901, SAN FRANCISCO, CA, 94115",Western Addition,5.0,POINT (-122.44100189 37.77780151),Phone,
3643880,05/14/2014 11:09:13 PM,05/15/2014 12:00:00 PM,05/15/2014 12:00:00 PM,Closed,DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"460 FELL ST, SAN FRANCISCO, CA, 94102",Hayes Valley,5.0,POINT (-122.42539335 37.77566705),Phone,
3643879,05/14/2014 11:06:59 PM,05/15/2014 11:59:36 AM,05/15/2014 11:59:36 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2 KINGSTON ST, SAN FRANCISCO, CA, 94110",Bernal Heights,9.0,POINT (-122.42339437 37.74164054),Phone,
3643875,05/14/2014 11:04:16 PM,05/16/2014 03:33:29 PM,05/16/2014 03:33:29 PM,Closed,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Inattentiveness_Negligence,213_General_Distraction_from_Duty,Not associated with a specific address,,,POINT (0 0),Web,
3643873,05/14/2014 11:02:44 PM,05/16/2014 04:17:55 PM,05/16/2014 04:17:55 PM,Closed,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Wooden Pole,"235 VALENCIA ST, SAN FRANCISCO, CA, 94103",Mission,9.0,POINT (-122.42211914 37.76919174),Mobile/Open311,http://mobile311.sfgov.org/reports/3643873/photos
3643872,05/14/2014 11:02:18 PM,05/15/2014 01:13:40 AM,05/15/2014 01:13:40 AM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Other,"4333 CABRILLO ST, SAN FRANCISCO, CA, 94121",Outer Richmond,1.0,POINT (-122.50503746 37.77343283),Phone,
3643871,05/14/2014 11:01:57 PM,05/15/2014 12:40:00 PM,05/15/2014 12:40:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of LARKIN ST and CEDAR ST,Lower Nob Hill,3.0,POINT (-122.41817894 37.78656628),Phone,
